utc,local,celsius
2017-09-03T01:53:22+00:00,2017-09-03T03:53:22+02:00,22.32
2017-09-03T02:08:22+00:00,2017-09-03T04:08:22+02:00,22.32
2017-09-03T02:23:22+00:00,2017-09-03T04:23:22+02:00,22.26
2017-09-03T02:38:22+00:00,2017-09-03T04:38:22+02:00,22.26
2017-09-03T02:53:22+00:00,2017-09-03T04:53:22+02:00,22.26
2017-09-03T03:08:22+00:00,2017-09-03T05:08:22+02:00,22.2
2017-09-03T03:23:22+00:00,2017-09-03T05:23:22+02:00,22.2
2017-09-03T03:38:22+00:00,2017-09-03T05:38:22+02:00,22.2
2017-09-03T03:53:22+00:00,2017-09-03T05:53:22+02:00,22.2
2017-09-03T04:08:22+00:00,2017-09-03T06:08:22+02:00,22.13
2017-09-03T04:23:22+00:00,2017-09-03T06:23:22+02:00,22.13
2017-09-03T04:38:22+00:00,2017-09-03T06:38:22+02:00,22.13
2017-09-03T04:53:22+00:00,2017-09-03T06:53:22+02:00,22.07
2017-09-03T05:08:22+00:00,2017-09-03T07:08:22+02:00,22.07
2017-09-03T05:23:22+00:00,2017-09-03T07:23:22+02:00,22.07
2017-09-03T05:38:22+00:00,2017-09-03T07:38:22+02:00,22.07
2017-09-03T05:53:22+00:00,2017-09-03T07:53:22+02:00,22.01
2017-09-03T06:08:22+00:00,2017-09-03T08:08:22+02:00,22.01
2017-09-03T06:23:22+00:00,2017-09-03T08:23:22+02:00,22.01
2017-09-03T06:38:22+00:00,2017-09-03T08:38:22+02:00,22.01
2017-09-03T06:53:22+00:00,2017-09-03T08:53:22+02:00,22.01
2017-09-03T07:08:22+00:00,2017-09-03T09:08:22+02:00,21.96
2017-09-03T07:23:22+00:00,2017-09-03T09:23:22+02:00,21.96
2017-09-03T07:38:23+00:00,2017-09-03T09:38:23+02:00,21.96
2017-09-03T07:53:23+00:00,2017-09-03T09:53:23+02:00,21.96
2017-09-03T08:08:23+00:00,2017-09-03T10:08:23+02:00,21.96
2017-09-03T08:23:23+00:00,2017-09-03T10:23:23+02:00,21.96
2017-09-03T08:38:23+00:00,2017-09-03T10:38:23+02:00,21.96
2017-09-03T08:53:23+00:00,2017-09-03T10:53:23+02:00,21.96
2017-09-03T09:08:23+00:00,2017-09-03T11:08:23+02:00,22.01
2017-09-03T09:23:23+00:00,2017-09-03T11:23:23+02:00,22.01
2017-09-03T09:38:23+00:00,2017-09-03T11:38:23+02:00,22.01
2017-09-03T09:53:23+00:00,2017-09-03T11:53:23+02:00,22.01
2017-09-03T10:08:23+00:00,2017-09-03T12:08:23+02:00,22.01
2017-09-03T10:23:24+00:00,2017-09-03T12:23:24+02:00,22.01
2017-09-03T10:38:24+00:00,2017-09-03T12:38:24+02:00,22.01
2017-09-03T10:53:24+00:00,2017-09-03T12:53:24+02:00,22.07
2017-09-03T11:08:24+00:00,2017-09-03T13:08:24+02:00,22.07
2017-09-03T11:23:24+00:00,2017-09-03T13:23:24+02:00,22.07
2017-09-03T11:38:24+00:00,2017-09-03T13:38:24+02:00,22.13
2017-09-03T11:53:24+00:00,2017-09-03T13:53:24+02:00,22.13
2017-09-03T12:08:24+00:00,2017-09-03T14:08:24+02:00,22.13
2017-09-03T12:23:24+00:00,2017-09-03T14:23:24+02:00,22.2
2017-09-03T12:38:24+00:00,2017-09-03T14:38:24+02:00,22.2
2017-09-03T12:53:24+00:00,2017-09-03T14:53:24+02:00,22.26
2017-09-03T13:08:26+00:00,2017-09-03T15:08:26+02:00,22.32
2017-09-03T13:23:26+00:00,2017-09-03T15:23:26+02:00,22.32
2017-09-03T13:38:27+00:00,2017-09-03T15:38:27+02:00,22.32
2017-09-03T13:53:27+00:00,2017-09-03T15:53:27+02:00,22.39
2017-09-03T14:08:28+00:00,2017-09-03T16:08:28+02:00,22.39
2017-09-03T14:23:29+00:00,2017-09-03T16:23:29+02:00,22.39
2017-09-03T14:38:30+00:00,2017-09-03T16:38:30+02:00,22.39
2017-09-03T14:53:30+00:00,2017-09-03T16:53:30+02:00,22.39
2017-09-03T15:08:31+00:00,2017-09-03T17:08:31+02:00,22.45
2017-09-03T15:23:31+00:00,2017-09-03T17:23:31+02:00,22.45
2017-09-03T15:38:31+00:00,2017-09-03T17:38:31+02:00,22.51
2017-09-03T15:53:31+00:00,2017-09-03T17:53:31+02:00,22.56
2017-09-03T16:08:32+00:00,2017-09-03T18:08:32+02:00,22.56
2017-09-03T16:23:32+00:00,2017-09-03T18:23:32+02:00,22.56
2017-09-03T16:38:33+00:00,2017-09-03T18:38:33+02:00,22.56
2017-09-03T16:53:33+00:00,2017-09-03T18:53:33+02:00,22.56
2017-09-03T17:08:33+00:00,2017-09-03T19:08:33+02:00,22.56
2017-09-03T17:23:33+00:00,2017-09-03T19:23:33+02:00,22.51
2017-09-03T17:38:33+00:00,2017-09-03T19:38:33+02:00,22.51
2017-09-03T17:53:33+00:00,2017-09-03T19:53:33+02:00,22.51
2017-09-03T18:08:33+00:00,2017-09-03T20:08:33+02:00,22.45
2017-09-03T18:23:33+00:00,2017-09-03T20:23:33+02:00,22.45
2017-09-03T18:38:33+00:00,2017-09-03T20:38:33+02:00,22.39
2017-09-03T18:53:34+00:00,2017-09-03T20:53:34+02:00,22.39
2017-09-03T19:08:36+00:00,2017-09-03T21:08:36+02:00,22.39
2017-09-03T19:23:36+00:00,2017-09-03T21:23:36+02:00,22.39
2017-09-03T19:38:36+00:00,2017-09-03T21:38:36+02:00,22.39
2017-09-03T19:53:36+00:00,2017-09-03T21:53:36+02:00,22.39
2017-09-03T20:08:36+00:00,2017-09-03T22:08:36+02:00,22.39
2017-09-03T20:23:36+00:00,2017-09-03T22:23:36+02:00,22.39
2017-09-03T20:38:36+00:00,2017-09-03T22:38:36+02:00,22.39
2017-09-03T20:53:36+00:00,2017-09-03T22:53:36+02:00,22.45
2017-09-03T21:08:36+00:00,2017-09-03T23:08:36+02:00,22.45
2017-09-03T21:23:37+00:00,2017-09-03T23:23:37+02:00,22.45
2017-09-03T21:38:37+00:00,2017-09-03T23:38:37+02:00,22.45
2017-09-03T21:53:37+00:00,2017-09-03T23:53:37+02:00,22.45
2017-09-03T22:08:37+00:00,2017-09-04T00:08:37+02:00,22.45
2017-09-03T22:23:37+00:00,2017-09-04T00:23:37+02:00,22.45
2017-09-03T22:38:37+00:00,2017-09-04T00:38:37+02:00,22.45
2017-09-03T22:53:37+00:00,2017-09-04T00:53:37+02:00,22.39
2017-09-03T23:08:37+00:00,2017-09-04T01:08:37+02:00,22.39
2017-09-03T23:23:38+00:00,2017-09-04T01:23:38+02:00,22.32
2017-09-03T23:38:38+00:00,2017-09-04T01:38:38+02:00,22.26
2017-09-03T23:53:38+00:00,2017-09-04T01:53:38+02:00,22.26
2017-09-04T00:08:38+00:00,2017-09-04T02:08:38+02:00,22.2
2017-09-04T00:23:38+00:00,2017-09-04T02:23:38+02:00,22.2
2017-09-04T00:38:38+00:00,2017-09-04T02:38:38+02:00,22.13
2017-09-04T00:53:38+00:00,2017-09-04T02:53:38+02:00,22.13
2017-09-04T01:08:38+00:00,2017-09-04T03:08:38+02:00,22.07
2017-09-04T01:23:39+00:00,2017-09-04T03:23:39+02:00,22.07
2017-09-04T01:38:39+00:00,2017-09-04T03:38:39+02:00,22.01
2017-09-04T01:53:39+00:00,2017-09-04T03:53:39+02:00,22.01
2017-09-04T02:08:39+00:00,2017-09-04T04:08:39+02:00,22.01
2017-09-04T02:23:39+00:00,2017-09-04T04:23:39+02:00,21.96
2017-09-04T02:38:39+00:00,2017-09-04T04:38:39+02:00,21.96
2017-09-04T02:53:39+00:00,2017-09-04T04:53:39+02:00,21.89
2017-09-04T03:08:39+00:00,2017-09-04T05:08:39+02:00,21.89
2017-09-04T03:23:39+00:00,2017-09-04T05:23:39+02:00,21.89
2017-09-04T03:38:39+00:00,2017-09-04T05:38:39+02:00,21.83
2017-09-04T03:53:39+00:00,2017-09-04T05:53:39+02:00,21.83
2017-09-04T04:08:39+00:00,2017-09-04T06:08:39+02:00,21.83
2017-09-04T04:23:39+00:00,2017-09-04T06:23:39+02:00,21.83
2017-09-04T04:38:39+00:00,2017-09-04T06:38:39+02:00,21.77
2017-09-04T04:53:41+00:00,2017-09-04T06:53:41+02:00,21.77
2017-09-04T05:08:41+00:00,2017-09-04T07:08:41+02:00,21.77
2017-09-04T05:23:41+00:00,2017-09-04T07:23:41+02:00,21.7
